PARK,PARK_NO,LOCATION,ZIP,ACRES,WARD,PARK_CLASS,WHEELCHR_A,ALFRED_CAL,ARCHERY_RA,ARTIFICIAL,BAND_SHELL,BASEBALL_B,BASKETBALL,BASKETBA_1,BEACH,BOAT_LAUNC,BOAT_LAU_1,BOAT_SLIPS,BOCCE_COUR,BOWLING_GR,CASTING_PI,FOOTBALL_S,COMMUNITY_,CONSERVATO,CULTURAL_C,DOG_FRIEND,FITNESS_CE,FITNESS_CO,GALLERY,GARDEN,GOLF_COURS,GOLF_DRIVI,GOLF_PUTTI,GYMNASIUM,GYMNASTIC_,HANDBALL_R,HORSESHOE_,ICESKATING,POOL_INDOO,BASEBALL_J,MOUNTAIN_B,NATURE_CEN,POOL_OUTDO,ZOO,PLAYGROUND,PLAYGROU_1,ROWING_CLU,VOLLEYBALL,SENIOR_CEN,SHUFFLEBOA,SKATE_PARK,SLED_HILL,SPORT_ROLL,SPRAY_FEAT,BASEBALL_S,TENNIS_COU,TRACK,VOLLEYBA_1,WATER_PLAY,WATER_SLID,BOXING_CEN,WETLAND_AR,LAGOON,CRICKET_FI,CLIMBING_W,GAME_TABLE,SHAPE_AREA,SHAPE_LEN,CAROUSEL,CROQUET,HANDBALL_I,HARBOR,MODELTRAIN,MODELYACHT,NATURE_BIR,MINIGOLF
NORTHERLY ISLAND,34,1400 S LYNN WHITE DR,60605,117.96,4,MAGNET PARK,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5134970.27778,13909.7755457,0,0,0,0,0,0,1,0
CHRISTIANA,1089,1533 S CHRISTIANA AVE,60623,0.16,24,MINI-PARK,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6241.59828864,349.653751643,0,0,0,0,0,0,0,0
REYES (GUADALUPE),352,827 W 19TH ST,60608,0.71,11,MINI-PARK,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25090.505697,700.842230297,0,0,0,0,0,0,0,0
ARMSTRONG (LILLIAN HARDIN),492,4433 S ST LAWRENCE,60653,9.29,3,COMMUNITY PARK,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374775.285157,2449.61252173,0,0,0,0,0,0,0,0
DAVIS (DR. NATHAN) SQUARE,14,4430 S MARSHFIELD AVE,60609,8.91,15,COMMUNITY PARK,0,0,0,2,0,0,4,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,354012.790539,2380.00625479,0,0,0,0,0,0,0,0
WIEBOLDT (WILLIAM),449,1747 W NELSON ST,60657,0.33,32,MINI-PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12503.1366555,449.937104013,0,0,0,0,0,0,0,0
BROOKS (GWENDOLYN),362,4542 S GREENWOOD AVE,60653,2.56,4,NEIGHBORHOOD PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,102407.142399,1621.38204038,0,0,0,0,0,0,0,0
ARCHER (WILLIAM BEATTY),250,4901 S KILBOURN AVE,60632,14.09,14,COMMUNITY PARK,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,583240.354872,3454.28853199,0,0,0,0,0,0,0,0
PACKINGTOWN,404,4856 S LAFLIN ST,60609,0.22,20,MINI-PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9445.20489711,414.059623264,0,0,0,0,0,0,0,0
"HOUSTON (JESSIE ""MA"")",278,5001 S COTTAGE GROVE AVE,60615,3.96,4,NEIGHBORHOOD PARK,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172421.137209,2041.30858995,0,0,0,0,0,0,0,0
LITTLE VENICE,1055,2251 W 50TH PL,60609,0.96,15,NEIGHBORHOOD PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,34064.1755235,794.982638762,0,0,0,0,0,0,0,0
PERIWINKLE,436,100 W 66TH ST,60621,0.75,20,NEIGHBORHOOD PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,32792.921313,799.478972141,0,0,0,0,0,0,0,0
"MADIGAN (MICHAEL J., SR.)",484,4701 W MARQUETTE RD,60638,12.75,13,COMMUNITY PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,545771.769734,2960.50901321,0,0,0,0,0,0,0,0
PARK NO. 527,527,6200 S LaSALLE ST,60621,5.75,20,UNIMPROVED PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227368.648704,2836.12860282,0,0,0,0,0,0,0,0
JEFFERSON (THOMAS),1113,1630 S JEFFERSON ST,60616,1.98,0,NEIGHBORHOOD PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,81621.122962,1419.33304907,0,0,0,0,0,0,0,0
HONOR� (BERTHA PALMER),520,916 N HONORE ST,60622,0.16,2,MINI-PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6066.70615337,347.292250761,0,0,0,0,0,0,0,0
STEELWORKERS,523,E 87TH ST AT THE LAKE,60617,16.92,10,PASSIVE PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,737054.647487,5467.63262606,0,0,0,0,0,0,0,0
RIVER,186,5100 N FRANCISCO AVE,60625,29.6,0,REGIONAL PARK,0,0,0,1,0,0,2,1,0,0,2,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2,0,0,1,0,0,0,0,0,0,1,5,1,1,1,0,0,0,0,0,0,0,1215963.69562,6380.17680847,0,0,0,0,0,0,0,0
POTTAWATTOMIE,166,7340 N ROGERS AVE,60626,9.45,49,COMMUNITY PARK,0,0,0,1,0,0,4,2,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,411527.886387,3199.95682835,0,0,0,0,0,0,0,0
KENNEDY (DENNIS),48,11320 S WESTERN AVE,60655,18.48,19,COMMUNITY PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,1,0,0,0,0,0,0,0,2,0,1,2,0,1,0,0,0,0,0,0,0,0,805304.177093,3812.95164539,0,0,0,0,0,0,0,0
HAMLIN (HANNIBAL),106,3035 N HOYNE AVE,60618,9.08,32,COMMUNITY PARK,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,395383.732997,2498.85402813,0,0,0,0,0,0,0,0
LOYOLA,115,1230 W GREENLEAF AVE,60626,40.54,49,REGIONAL PARK,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,0,1749197.03042,9099.56866537,0,0,0,0,0,0,1,0
LAZARUS (EMMA),450,1257 W COLUMBIA AVE,60626,0.18,49,MINI-PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7837.62178017,413.796016935,0,0,0,0,0,0,0,0
EDISON (THOMAS ALVA),62,6755 N NORTHWEST HWY,60631,0.83,41,NEIGHBORHOOD PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36215.9843818,769.82786251,0,0,0,0,1,0,0,0
BERGER (ALBERT),1255,6227 N SHERIDAN RD,60660,3.5,48,NEIGHBORHOOD PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138367.83715,1509.94857814,0,0,0,0,0,0,0,0
INDIAN ROAD,1038,6010 W MATSON AVE,60646,3.5,39,NEIGHBORHOOD PARK,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,124145.7936,1475.31366553,0,0,0,0,0,0,0,0
DEJULIO (ANTHONY),366,6056 N LANDERS AVE,60646,0.67,39,NEIGHBORHOOD PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28400.8728329,700.967809567,0,0,0,0,0,0,0,0
ANDERSONVILLE,1078,5233 N ASHLAND AVE,60640,0.24,40,MINI-PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7565.8380481,352.361161796,0,0,0,0,0,0,0,0
GOMPERS (SAMUEL),40,4222 W FOSTER AVE,60630,38.24,39,REGIONAL PARK,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,5,0,0,0,0,0,1,1,0,0,0,1763291.76797,15412.689033,0,0,0,0,0,0,0,0
KIWANIS,42,3315 W CARMEN AVE,60625,1.55,39,PASSIVE PARK,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67601.1908548,1224.47217546,0,0,0,0,0,0,0,0
GROSS (THEODORE),1031,2708 W LAWRENCE AVE,60625,1.55,40,NEIGHBORHOOD PARK,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67418.7252438,1083.04688545,0,0,0,0,0,0,0,0
CHASE (SALMON),103,4725 N ASHLAND AV,60640,4.93,47,COMMUNITY PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,199206.800849,1901.5183377,0,0,0,0,0,0,0,0
GOOSEBERRY,348,4648 N MALDEN ST,60640,0.21,46,MINI-PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9244.03541608,460.711039824,0,0,0,0,0,0,0,0
MAYFAIR,86,4550 W SUNNYSIDE AVE,60630,3,39,NEIGHBORHOOD PARK,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,130728.555613,1440.30355736,0,0,0,0,0,0,0,0
NELSON (ANDREW),1133,2953 W NELSON ST,60618,0.15,33,MINI-PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5502.18334742,320.748978436,0,0,0,0,0,0,0,0
ROWAN (WILLIAM),248,11546 S AVENUE L,60617,18.64,10,REGIONAL PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,811691.693455,3597.00231395,0,0,0,0,0,0,0,0
KENSINGTON,1041,345 E 118TH ST,60628,4.88,9,NEIGHBORHOOD PARK,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,212598.982016,2098.22880527,0,0,0,0,0,0,0,0
COLISEUM,507,1466 S WABASH AV,60605,0.75,3,NEIGHBORHOOD PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30948.6806765,704.101330962,0,0,0,0,0,0,0,0
ZATTERBERG (HELEN),1107,4246 N HERMITAGE AVE,60613,0.22,47,MINI-PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8143.28483188,425.044171315,0,0,0,0,0,0,0,0
REVERE (PAUL),185,2509 W IRVING PARK RD,60618,9.49,47,COMMUNITY PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,413306.081543,2569.19736668,0,0,0,0,0,0,0,0
INDEPENDENCE,83,3945 N SPRINGFIELD AVE,60618,8.82,45,COMMUNITY PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,384131.116145,2467.88728613,0,0,0,0,0,0,0,0
STARR (ELLEN GATES),497,2306 W MAYPOLE AVE,60612,2.13,27,NEIGHBORHOOD PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87478.6043714,1332.66435871,0,0,0,0,0,0,0,0
O'HALLAREN (BERNARD),1012,8335 S HONORE ST,60620,9.19,21,COMMUNITY PARK,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,357601.60161,2391.99299166,0,0,0,0,0,0,0,0
THE GROVE,397,8421 S MORGAN ST,60620,0.32,21,MINI-PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13912.3394568,479.018452122,0,0,0,0,0,0,0,0
SACRAMENTO,1147,3520 N SACRAMENTO AVE,60618,0.93,33,NEIGHBORHOOD PARK,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34635.3968044,808.203674442,0,0,0,0,0,0,0,0
KILBOURN,84,3501 N KILBOURN AVE,60641,12.08,30,COMMUNITY PARK,0,0,0,1,0,0,4,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,497579.632957,3426.10543619,0,0,0,0,0,0,0,0
KELVYN (WILLIAM),126,4438 W WRIGHTWOOD AVE,60639,9.92,31,COMMUNITY PARK,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,432048.523819,2610.99914018,0,0,0,0,0,0,0,0
CRAGIN,131,2611 N LOCKWOOD AVE,60639,3.3,31,NEIGHBORHOOD PARK,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,121972.475496,1452.3853022,0,0,0,0,0,0,0,0
CLOVER,1277,2210 N SOUTHPORT AVE,60614,0.41,2,MINI-PARK,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15841.6058683,503.478835574,0,0,0,0,0,0,0,0
WALSH (JOHN),393,1722 N ASHLAND AVE,60614,2.18,32,NEIGHBORHOOD PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83156.7287743,1299.21798738,0,0,0,0,0,0,0,0
GALEWOOD,130,5729 W BLOOMINGDALE AVE,60639,2.3,29,NEIGHBORHOOD PARK,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,100235.175869,1541.37984841,0,0,0,0,0,0,0,0
DEGEORGE (BERNICE),1093,4905 W WABANSIA AVE,60639,0.37,37,MINI-PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12635.3191369,454.040324465,0,0,0,0,0,0,0,0
"WICKER (CHARLES, JOEL)",214,1425 N DAMEN AVE,60622,4.74,1,COMMUNITY PARK,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,206237.03143,2128.99794339,0,0,0,0,0,0,0,0
LA FOLLETTE (ROBERT),201,1333 N LARAMIE AVE,60651,18.8,37,REGIONAL PARK,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,818821.961645,3835.63633363,0,0,0,0,0,0,0,0
WASHINGTON SQUARE,1244,901 N CLARK ST,60610,2.84,2,PASSIVE PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101398.6705,1273.73095028,0,0,0,0,0,0,0,0
ECKHART (BERNARD),208,1330 W CHICAGO AVE,60622,8.85,27,COMMUNITY PARK,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,385395.579059,2465.24220644,0,0,0,0,0,0,0,0
LAKE SHORE,107,254 E CHICAGO AVE,60611,7.2,2,COMMUNITY PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,247758.640321,2744.9986594,0,0,0,0,0,0,0,0
CENTRAL,1087,721 N CENTRAL PARK AVE,60624,0.24,27,MINI-PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8925.60672462,388.040713124,0,0,0,0,0,0,0,0
ECKERSALL (WALTER HERBERT),232,2430 E 82ND ST,60617,2.95,7,NEIGHBORHOOD PARK,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128435.798661,1826.18165696,0,0,0,0,0,0,0,0
WEST CHATHAM,249,8223 S PRINCETON AVE,60620,14.03,21,COMMUNITY PARK,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,601179.148019,3934.70021513,0,0,0,0,0,0,0,0
OHIO & HARDING,1138,607 N HARDING AVE,60624,0.56,37,MINI-PARK,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18185.9016305,540.55004638,0,0,0,0,0,0,0,0
COTTONWOOD,416,5058 W WEST END AVE,60644,0.25,28,MINI-PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6031.70427925,428.020612,0,0,0,0,0,0,0,0
ARRIGO (VICTOR),215,1250 W LEXINGTON ST,60607,7.07,28,COMMUNITY PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280813.727607,2588.47313719,0,0,0,0,0,0,0,0
PARK NO. 432,432,3349 W RICE ST,60651,0.08,27,UNIMPROVED PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3084.86865916,295.739269308,0,0,0,0,0,0,0,0
WASHINGTON (HAROLD) MEM.,506,7710 N PAULINA ST,60626,0.21,49,MINI-PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8258.34994689,381.988427113,0,0,0,0,0,0,0,0
ANDERSON (LOUIS),1020,3748 S PRAIRIE AVE,60653,0.99,3,COMMUNITY PARK,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,37629.0805636,852.821876397,0,0,0,0,0,0,0,0
CANAL ORIGINS,502,2701 S ASHLAND AVE,60608,2.43,25,LINEAR PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119037.70837,2831.58395845,0,0,0,0,0,0,0,0
