PARK,PARK_NO,LOCATION,ZIP,ACRES,WARD,PARK_CLASS,WHEELCHR_A,ALFRED_CAL,ARCHERY_RA,ARTIFICIAL,BAND_SHELL,BASEBALL_B,BASKETBALL,BASKETBA_1,BEACH,BOAT_LAUNC,BOAT_LAU_1,BOAT_SLIPS,BOCCE_COUR,BOWLING_GR,CASTING_PI,FOOTBALL_S,COMMUNITY_,CONSERVATO,CULTURAL_C,DOG_FRIEND,FITNESS_CE,FITNESS_CO,GALLERY,GARDEN,GOLF_COURS,GOLF_DRIVI,GOLF_PUTTI,GYMNASIUM,GYMNASTIC_,HANDBALL_R,HORSESHOE_,ICESKATING,POOL_INDOO,BASEBALL_J,MOUNTAIN_B,NATURE_CEN,POOL_OUTDO,ZOO,PLAYGROUND,PLAYGROU_1,ROWING_CLU,VOLLEYBALL,SENIOR_CEN,SHUFFLEBOA,SKATE_PARK,SLED_HILL,SPORT_ROLL,SPRAY_FEAT,BASEBALL_S,TENNIS_COU,TRACK,VOLLEYBA_1,WATER_PLAY,WATER_SLID,BOXING_CEN,WETLAND_AR,LAGOON,CRICKET_FI,CLIMBING_W,GAME_TABLE,SHAPE_AREA,SHAPE_LEN,CAROUSEL,CROQUET,HANDBALL_I,HARBOR,MODELTRAIN,MODELYACHT,NATURE_BIR,MINIGOLF
ROBINSON (JACKIE),236,10540 S MORGAN ST,60643,12.32,34,REGIONAL PARK,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,489822.885782,2883.27952763,0,0,0,0,0,0,0,0
STOUT (FLORENCE),291,5446 S GREENWOOD AVE,60615,2.81,5,NEIGHBORHOOD PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122261.353639,1601.59147452,0,0,0,0,0,0,0,0
DURKIN (MARTIN),268,8441 S KOLIN AVE,60652,9.69,18,COMMUNITY PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,398332.876367,2527.6256252,0,0,0,0,0,0,0,0
OWENS (JESSE),237,2100 E 88TH ST,60617,18.42,8,COMMUNITY PARK,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,801170.14803,3797.68236986,0,0,0,0,0,0,0,0
JACKSON (ANDREW),19,6401 S STONY ISLAND AVE,60637,561.35,5,MAGNET PARK,0,0,0,1,0,0,8,4,2,1,1,467,0,2,1,5,1,0,0,0,1,0,0,2,1,1,0,1,1,0,0,0,0,6,0,0,0,0,7,0,0,0,0,0,0,0,0,1,2,24,1,0,1,0,0,0,2,0,0,0,22856433.5148,91721.7190721,0,1,0,3,0,0,4,0
PRITZKER,541,301-52 S STATE ST,60604,1.1,4,PASSIVE PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38323.2902039,1001.84615725,0,0,0,0,0,0,0,0
PARK NO. 556,556,2529 W LOGAN BLVD,60647,0.57,1,PASSIVE PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20587.3394937,997.691081351,0,0,0,0,0,0,0,0
PARK NO. 571,571,2754-2860 S ELEANOR ST,60608,4.41,11,NEIGHBORHOOD PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179654.700255,1907.5389895,0,0,0,0,0,0,0,0
DONAHUE (MARGARET),570,1230 W. SCHOOL ST.,60657,0.53,44,MINI-PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,21708.0355289,612.017955833,0,0,0,0,0,0,0,0
PALMER SQUARE,539,2200 N KEDZIE AVE,60647,8.09,0,COMMUNITY PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336831.852741,4109.319462,0,0,0,0,0,0,0,0
